;textDisplay;sentimen;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
93;Hyundai cuma CKD 100 unit ioniq 5 <br>Target awal seperti itu karena mereka tdk menyangka permintaan akan membludak seperti ini. Jadi ya supply-nya kalah jauh dibanding demand-nya;0.0;hyundai cuma allcaps ckd allcaps number unit ioniq number br target awal seperti itu karena mereka tdk menyangka permintaan akan membludak seperti ini jadi ya supply nya kalah jauh dibanding demand nya;['hyundai', 'cuma', 'allcaps', 'ckd', 'allcaps', 'number', 'unit', 'ioniq', 'number', 'br', 'target', 'awal', 'seperti', 'itu', 'karena', 'mereka', 'tdk', 'menyangka', 'permintaan', 'akan', 'membludak', 'seperti', 'ini', 'jadi', 'ya', 'supply', 'nya', 'kalah', 'jauh', 'dibanding', 'demand', 'nya'];['hyundai', 'cuma', 'allcaps', 'ckd', 'allcaps', 'number', 'unit', 'ioniq', 'number', 'br', 'target', 'awal', 'seperti', 'itu', 'karena', 'mereka', 'tidak', 'menyangka', 'permintaan', 'akan', 'membludak', 'seperti', 'ini', 'jadi', 'iya', 'supply', 'nya', 'kalah', 'jauh', 'dibanding', 'demand', 'nya'];['hyundai', 'allcaps', 'ckd', 'allcaps', 'number', 'unit', 'ioniq', 'number', 'br', 'target', 'menyangka', 'permintaan', 'membludak', 'iya', 'supply', 'nya', 'kalah', 'dibanding', 'demand', 'nya'];hyundai allcaps ckd allcaps number unit ioniq number br target menyangka permintaan membludak iya supply nya kalah dibanding demand nya;hyundai allcaps ckd allcaps number unit ioniq number br target sangka minta membludak iya supply nya kalah banding demand nya
94;review ioniq 6 om;1.0;review ioniq number om;['review', 'ioniq', 'number', 'om'];['review', 'ioniq', 'number', 'om'];['review', 'ioniq', 'number', 'om'];review ioniq number om;review ioniq number om
95;Belum masuk;1.0;belum masuk;['belum', 'masuk'];['belum', 'masuk'];['masuk'];masuk;masuk
96;mobil mahal emang beda....hehe;1.0;mobil mahal emang beda repeated hehe;['mobil', 'mahal', 'emang', 'beda', 'repeated', 'hehe'];['mobil', 'mahal', 'memang', 'beda', 'repeated', 'hehe'];['mobil', 'mahal', 'beda', 'repeated', 'hehe'];mobil mahal beda repeated hehe;mobil mahal beda repeated hehe
97;Kalo jalan jauh ke bali gk cocok bawa mbl ginian. Nunggu penuh nya aja lama 😂;-1.0;kalo jalan jauh ke bali gk cocok bawa mbl ginian nunggu penuh nya aja lama;['kalo', 'jalan', 'jauh', 'ke', 'bali', 'gk', 'cocok', 'bawa', 'mbl', 'ginian', 'nunggu', 'penuh', 'nya', 'aja', 'lama'];['kalau', 'jalan', 'jauh', 'ke', 'bali', 'tidak', 'cocok', 'bawa', 'mbl', 'ginian', 'nunggu', 'penuh', 'nya', 'saja', 'lama'];['jalan', 'bali', 'cocok', 'bawa', 'mbl', 'ginian', 'nunggu', 'penuh', 'nya'];jalan bali cocok bawa mbl ginian nunggu penuh nya;jalan bal cocok bawa mbl ginian nunggu penuh nya
98;Lutut ku bergetar… hanya bisa ngeliat saja.. good job mas fitra…;1.0;lutut ku bergetar hanya bisa ngeliat saja repeated good job mas fitra;['lutut', 'ku', 'bergetar', 'hanya', 'bisa', 'ngeliat', 'saja', 'repeated', 'good', 'job', 'mas', 'fitra'];['lutut', 'ku', 'bergetar', 'hanya', 'bisa', 'ngeliat', 'saja', 'repeated', 'good', 'job', 'mas', 'fitra'];['lutut', 'ku', 'bergetar', 'ngeliat', 'repeated', 'good', 'job', 'mas', 'fitra'];lutut ku bergetar ngeliat repeated good job mas fitra;lutut ku getar ngeliat repeated good job mas fitra
99;TELKOMSEL RUSAK - RUSAK SAJA GELOMBANGANNYA BACA TULISAN SAYA INI BINATANG;-1.0;allcaps telkomsel rusak allcaps allcaps rusak saja gelombangannya baca tulisan saya ini binatang allcaps;['allcaps', 'telkomsel', 'rusak', 'allcaps', 'allcaps', 'rusak', 'saja', 'gelombangannya', 'baca', 'tulisan', 'saya', 'ini', 'binatang', 'allcaps'];['allcaps', 'telkomsel', 'rusak', 'allcaps', 'allcaps', 'rusak', 'saja', 'gelombangannya', 'baca', 'tulisan', 'saya', 'ini', 'binatang', 'allcaps'];['allcaps', 'telkomsel', 'rusak', 'allcaps', 'allcaps', 'rusak', 'gelombangannya', 'baca', 'tulisan', 'binatang', 'allcaps'];allcaps telkomsel rusak allcaps allcaps rusak gelombangannya baca tulisan binatang allcaps;allcaps telkomsel rusak allcaps allcaps rusak gelombang baca tulis binatang allcaps
100;Gampang buat dipake drifting hehehe;1.0;gampang buat dipake drifting hehehe;['gampang', 'buat', 'dipake', 'drifting', 'hehehe'];['gampang', 'buat', 'dipakai', 'drifting', 'hehehe'];['gampang', 'dipakai', 'drifting', 'hehehe'];gampang dipakai drifting hehehe;gampang pakai drifting hehehe
101;saya tetep beli new hrv aja 😁;0.0;saya tetep beli new hrv aja;['saya', 'tetep', 'beli', 'new', 'hrv', 'aja'];['saya', 'tetap', 'beli', 'new', 'hrv', 'saja'];['beli', 'new', 'hrv'];beli new hrv;beli new hrv
103;pajak nya brp om?;0.0;pajak nya brp om;['pajak', 'nya', 'brp', 'om'];['pajak', 'nya', 'brp', 'om'];['pajak', 'nya', 'brp', 'om'];pajak nya brp om;pajak nya brp om
104;Kesini gara2 kakak beli ni mobil... Alhamdulillah 😇;1.0;kesini gara2 kakak beli ni mobil repeated alhamdulillah;['kesini', 'gara2', 'kakak', 'beli', 'ni', 'mobil', 'repeated', 'alhamdulillah'];['kesini', 'gara2', 'kakak', 'beli', 'ini', 'mobil', 'repeated', 'syukur'];['kesini', 'gara2', 'kakak', 'beli', 'mobil', 'repeated', 'syukur'];kesini gara2 kakak beli mobil repeated syukur;kesini gara2 kakak beli mobil repeated syukur
105;Oi gimana nih tanggapannya soal cat mengelupas. Influencer pada diem2 bae kl ad mslh beginian. Jgn2 bayaran hyundai yaa!;-1.0;oi gimana nih tanggapannya soal cat mengelupas influencer pada diem2 bae kl ad mslh beginian jgn2 bayaran hyundai yaa;['oi', 'gimana', 'nih', 'tanggapannya', 'soal', 'cat', 'mengelupas', 'influencer', 'pada', 'diem2', 'bae', 'kl', 'ad', 'mslh', 'beginian', 'jgn2', 'bayaran', 'hyundai', 'yaa'];['oi', 'bagaimana', 'ini', 'tanggapannya', 'soal', 'cat', 'mengelupas', 'influencer', 'pada', 'diem2', 'bae', 'kalau', 'ada', 'mslh', 'beginian', 'jgn2', 'bayaran', 'hyundai', 'iya'];['oi', 'tanggapannya', 'cat', 'mengelupas', 'influencer', 'diem2', 'bae', 'mslh', 'jgn2', 'bayaran', 'hyundai', 'iya'];oi tanggapannya cat mengelupas influencer diem2 bae mslh jgn2 bayaran hyundai iya;oi tanggap cat kelupas influencer diem2 bae mslh jgn2 bayar hyundai iya
106;Kesini Gara2 liat di IG mobil ini ditempeli lakban cat mobilnya kebawa di lakbanya.;0.0;kesini gara2 liat di ig mobil ini ditempeli lakban cat mobilnya kebawa di lakbanya;['kesini', 'gara2', 'liat', 'di', 'ig', 'mobil', 'ini', 'ditempeli', 'lakban', 'cat', 'mobilnya', 'kebawa', 'di', 'lakbanya'];['kesini', 'gara2', 'lihat', 'di', 'ig', 'mobil', 'ini', 'ditempeli', 'lakban', 'cat', 'mobilnya', 'kebawa', 'di', 'lakbanya'];['kesini', 'gara2', 'lihat', 'ig', 'mobil', 'ditempeli', 'lakban', 'cat', 'mobilnya', 'kebawa', 'lakbanya'];kesini gara2 lihat ig mobil ditempeli lakban cat mobilnya kebawa lakbanya;kesini gara2 lihat ig mobil tempel lakban cat mobil bawa lakbanya
107;Ngecharge di warkop bisa gak om..🙏🥺;0.0;ngecharge di warkop bisa gak om repeated;['ngecharge', 'di', 'warkop', 'bisa', 'gak', 'om', 'repeated'];['ngecharge', 'di', 'warkop', 'bisa', 'tidak', 'om', 'repeated'];['ngecharge', 'warkop', 'om', 'repeated'];ngecharge warkop om repeated;ngecharge warkop om repeated
108;Dengar dengar cat nya kena lakban saja ngelupas ya...!;-1.0;dengar dengar cat nya kena lakban saja ngelupas ya repeated;['dengar', 'dengar', 'cat', 'nya', 'kena', 'lakban', 'saja', 'ngelupas', 'ya', 'repeated'];['dengar', 'dengar', 'cat', 'nya', 'kena', 'lakban', 'saja', 'ngelupas', 'iya', 'repeated'];['dengar', 'dengar', 'cat', 'nya', 'kena', 'lakban', 'ngelupas', 'iya', 'repeated'];dengar dengar cat nya kena lakban ngelupas iya repeated;dengar dengar cat nya kena lakban ngelupas iya repeated
109;Cat nya nglotok gak?;0.0;cat nya nglotok gak;['cat', 'nya', 'nglotok', 'gak'];['cat', 'nya', 'nglotok', 'tidak'];['cat', 'nya', 'nglotok'];cat nya nglotok;cat nya nglotok
110;Jadi pingin punya mobil ev;1.0;jadi pingin punya mobil ev;['jadi', 'pingin', 'punya', 'mobil', 'ev'];['jadi', 'pingin', 'punya', 'mobil', 'ev'];['pingin', 'mobil', 'ev'];pingin mobil ev;pingin mobil ev
111;Rumah pun punya powerbank sekarang;1.0;rumah pun punya powerbank sekarang;['rumah', 'pun', 'punya', 'powerbank', 'sekarang'];['rumah', 'pun', 'punya', 'powerbank', 'sekarang'];['rumah', 'powerbank'];rumah powerbank;rumah powerbank
112;Kualitas cat nya gimana om? Besok jangan lupa bawa lakban.;-1.0;kualitas cat nya gimana om besok jangan lupa bawa lakban;['kualitas', 'cat', 'nya', 'gimana', 'om', 'besok', 'jangan', 'lupa', 'bawa', 'lakban'];['kualitas', 'cat', 'nya', 'bagaimana', 'om', 'besok', 'jangan', 'lupa', 'bawa', 'lakban'];['kualitas', 'cat', 'nya', 'om', 'besok', 'lupa', 'bawa', 'lakban'];kualitas cat nya om besok lupa bawa lakban;kualitas cat nya om besok lupa bawa lakban
113;Bang benarkah mobil ini cat nya terkelupas bila di kenakan lakban .;-1.0;bang benarkah mobil ini cat nya terkelupas bila di kenakan lakban;['bang', 'benarkah', 'mobil', 'ini', 'cat', 'nya', 'terkelupas', 'bila', 'di', 'kenakan', 'lakban'];['bang', 'benarkah', 'mobil', 'ini', 'cat', 'nya', 'terkelupas', 'bila', 'di', 'kenakan', 'lakban'];['bang', 'mobil', 'cat', 'nya', 'terkelupas', 'kenakan', 'lakban'];bang mobil cat nya terkelupas kenakan lakban;bang mobil cat nya kelupas kena lakban
114;Ini sdh bisa di pakai di luar jawa ya om fitra?;0.0;ini sdh bisa di pakai di luar jawa ya om fitra;['ini', 'sdh', 'bisa', 'di', 'pakai', 'di', 'luar', 'jawa', 'ya', 'om', 'fitra'];['ini', 'sudah', 'bisa', 'di', 'pakai', 'di', 'luar', 'jawa', 'iya', 'om', 'fitra'];['pakai', 'jawa', 'iya', 'om', 'fitra'];pakai jawa iya om fitra;pakai jawa iya om fitra
115;Speed likmiter gak dibahas bang;0.0;speed likmiter gak dibahas bang;['speed', 'likmiter', 'gak', 'dibahas', 'bang'];['speed', 'likmiter', 'tidak', 'dibahas', 'bang'];['speed', 'likmiter', 'dibahas', 'bang'];speed likmiter dibahas bang;speed likmiter bahas bang
116;Mana Indonesia katanya mau bikin;1.0;mana indonesia katanya mau bikin;['mana', 'indonesia', 'katanya', 'mau', 'bikin'];['mana', 'indonesia', 'katanya', 'mau', 'membuat'];['indonesia'];indonesia;indonesia
